task_id,oracle_utility,best_qsar_utility,best_final_llm_utility,best_raw_llm_utility,similarity_utility,rules_utility,oracle_minus_best_qsar,best_qsar_minus_best_final_llm,best_qsar_minus_best_raw_llm,best_final_llm_minus_similarity,best_qsar_minus_similarity
CARA_LO_CHEMBL2328568_IC50_0001,102.22,94.1,80.17999999999999,80.99,59.73,72.49,8.120000000000005,13.920000000000002,13.11,20.449999999999996,34.37
CARA_LO_CHEMBL3431931_IC50_0026,94.67999999999999,83.66,80.39,83.79,73.72000000000001,56.519999999999996,11.019999999999996,3.269999999999996,-0.13000000000000966,6.6699999999999875,9.939999999999984
CARA_LO_CHEMBL3705123_IC50_0002,93.09,89.56,78.87,80.02,73.53,67.77000000000001,3.530000000000001,10.689999999999998,9.540000000000006,5.340000000000003,16.03
CARA_LO_CHEMBL3705125_IC50_0030,91.58,85.97,85.31,75.67999999999999,72.9,73.34999999999998,5.609999999999999,0.6599999999999966,10.290000000000006,12.409999999999997,13.069999999999993
CARA_LO_CHEMBL3705264_IC50_0020,84.55999999999999,78.89,75.68999999999998,77.19999999999999,79.11,55.470000000000006,5.6699999999999875,3.200000000000017,1.690000000000012,-3.420000000000016,-0.21999999999999886
CARA_LO_CHEMBL3705357_IC50_0009,99.12,95.36999999999999,92.41999999999999,88.24,94.25000000000001,62.95,3.750000000000014,2.950000000000003,7.1299999999999955,-1.8300000000000267,1.1199999999999761
CARA_LO_CHEMBL3705399_Ki_0042,83.44000000000001,79.94999999999999,78.39,72.42,59.269999999999996,66.03,3.4900000000000233,1.559999999999988,7.529999999999987,19.120000000000005,20.679999999999993
CARA_LO_CHEMBL3705476_IC50_0004,90.42999999999999,77.69999999999999,74.60000000000001,74.16,75.83,64.39,12.730000000000004,3.09999999999998,3.539999999999992,-1.2299999999999898,1.8699999999999903
CARA_LO_CHEMBL3705480_Ki_0016,95.17999999999999,92.78,90.80000000000001,89.51,85.19999999999999,80.89000000000001,2.3999999999999915,1.9799999999999898,3.269999999999996,5.600000000000023,7.5800000000000125
CARA_LO_CHEMBL3705486_Ki_0023,89.42999999999999,84.24,86.9,85.11999999999999,68.84,77.24,5.189999999999998,-2.660000000000011,-0.8799999999999955,18.060000000000002,15.399999999999991
CARA_LO_CHEMBL3705825_Ki_0038,87.17000000000002,84.79,84.79,79.62,66.28,56.38999999999999,2.3800000000000097,0.0,5.170000000000002,18.510000000000005,18.510000000000005
CARA_LO_CHEMBL3705860_IC50_0039,84.47999999999999,78.51,80.76,80.08,77.05,79.1,5.969999999999985,-2.25,-1.5699999999999932,3.710000000000008,1.460000000000008
CARA_LO_CHEMBL3705868_IC50_0012,94.52,89.07,78.72999999999999,76.98,87.41000000000003,78.85,5.450000000000003,10.340000000000003,12.08999999999999,-8.680000000000035,1.6599999999999682
CARA_LO_CHEMBL3705899_IC50_0008,93.56999999999998,83.70499999999998,81.86,78.62,82.47999999999999,73.59,9.864999999999995,1.8449999999999847,5.0849999999999795,-0.6199999999999903,1.2249999999999943
CARA_LO_CHEMBL3705917_IC50_0043,100.35,91.63,95.67999999999999,90.67999999999999,92.07,90.19,8.719999999999999,-4.049999999999997,0.9500000000000028,3.6099999999999994,-0.4399999999999977
CARA_LO_CHEMBL3705960_IC50_0011,93.52999999999999,88.64999999999999,87.00999999999999,86.62,91.57999999999998,67.98,4.8799999999999955,1.6400000000000006,2.029999999999987,-4.569999999999993,-2.9299999999999926
CARA_LO_CHEMBL3705983_IC50_0013,83.86999999999999,80.25999999999999,81.54999999999998,76.755,78.32000000000001,65.26,3.6099999999999994,-1.289999999999992,3.5049999999999955,3.2299999999999756,1.9399999999999835
CARA_LO_CHEMBL3706298_IC50_0036,88.51,75.45,72.07000000000001,71.85000000000001,75.22,62.9,13.060000000000002,3.3799999999999955,3.5999999999999943,-3.1499999999999915,0.23000000000000398
CARA_LO_CHEMBL3706356_IC50_0041,80.88,68.74999999999999,68.92,71.36,56.510000000000005,55.63,12.13000000000001,-0.17000000000001592,-2.6100000000000136,12.409999999999997,12.23999999999998
CARA_LO_CHEMBL3707962_IC50_0025,84.94,79.17,75.69000000000001,77.78,78.07000000000001,53.669999999999995,5.769999999999996,3.4799999999999898,1.3900000000000006,-2.3799999999999955,1.0999999999999943
CARA_LO_CHEMBL3734174_IC50_0014,84.65,82.54,70.72,71.44999999999999,67.63,63.07000000000001,2.1099999999999994,11.820000000000007,11.090000000000018,3.0900000000000034,14.91000000000001
CARA_LO_CHEMBL3734552_EC50_0015,99.31,97.41000000000001,91.35,98.03,97.41000000000001,69.03999999999999,1.8999999999999915,6.0600000000000165,-0.6199999999999903,-6.0600000000000165,0.0
CARA_LO_CHEMBL3883076_IC50_0031,86.75,78.46999999999998,79.52000000000001,77.32999999999998,77.57,68.17,8.280000000000015,-1.0500000000000256,1.1400000000000006,1.950000000000017,0.8999999999999915
CARA_LO_CHEMBL3887029_Ki_0033,83.00999999999999,72.32000000000001,74.08,71.31,52.715,66.405,10.689999999999984,-1.759999999999991,1.0100000000000051,21.364999999999995,19.605000000000004
CARA_LO_CHEMBL3887030_Ki_0049,76.555,67.02000000000001,70.76,68.51,62.58,55.82000000000001,9.534999999999997,-3.739999999999995,-1.4899999999999949,8.180000000000007,4.440000000000012
CARA_LO_CHEMBL3887063_IC50_0005,96.91,86.32000000000001,67.63,71.55,90.14999999999999,59.71,10.58999999999999,18.690000000000012,14.77000000000001,-22.519999999999996,-3.829999999999984
CARA_LO_CHEMBL3887074_IC50_0027,85.77,76.02,76.91000000000001,62.379999999999995,78.31,60.31,9.75,-0.8900000000000148,13.64,-1.3999999999999915,-2.2900000000000063
CARA_LO_CHEMBL3887259_EC50_0029,88.07,82.69999999999999,76.97,80.65999999999998,82.14999999999999,61.24999999999999,5.3700000000000045,5.72999999999999,2.0400000000000063,-5.179999999999993,0.5499999999999972
CARA_LO_CHEMBL3887288_IC50_0021,88.74,74.82,69.08,64.08,56.28999999999999,65.86,13.920000000000002,5.739999999999995,10.739999999999995,12.790000000000006,18.53
CARA_LO_CHEMBL3887334_IC50_0046,88.14,73.36999999999999,63.379999999999995,64.81,72.18,58.41,14.77000000000001,9.989999999999995,8.559999999999988,-8.800000000000011,1.1899999999999835
