task_id,system_name,failure_type,count
CARA_LO_CHEMBL1006579_IC50_0001,similarity_to_best_active,none,0
CARA_LO_CHEMBL1048115_IC50_0002,similarity_to_best_active,none,0
CARA_LO_CHEMBL1243978_IC50_0003,similarity_to_best_active,none,0
CARA_LO_CHEMBL1614295_Potency_0004,similarity_to_best_active,none,0
CARA_LO_CHEMBL2032586_IC50_0005,similarity_to_best_active,none,0
CARA_LO_CHEMBL2038596_IC50_0006,similarity_to_best_active,none,0
CARA_LO_CHEMBL2046255_IC50_0007,similarity_to_best_active,none,0
CARA_LO_CHEMBL2328568_IC50_0008,similarity_to_best_active,none,0
CARA_LO_CHEMBL3431931_IC50_0009,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705123_IC50_0010,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705125_IC50_0011,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705142_IC50_0012,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705264_IC50_0013,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705271_IC50_0014,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705334_IC50_0015,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705357_IC50_0016,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705358_IC50_0017,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705399_Ki_0018,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705467_IC50_0019,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705476_IC50_0020,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705480_Ki_0021,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705486_Ki_0022,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705705_IC50_0023,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705715_Ki_0024,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705825_Ki_0025,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705860_IC50_0026,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705868_IC50_0027,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705882_Ki_0028,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705899_IC50_0029,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705917_IC50_0030,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705960_IC50_0031,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705963_IC50_0032,similarity_to_best_active,none,0
CARA_LO_CHEMBL3705983_IC50_0033,similarity_to_best_active,none,0
CARA_LO_CHEMBL3706272_IC50_0034,similarity_to_best_active,none,0
CARA_LO_CHEMBL3706298_IC50_0035,similarity_to_best_active,none,0
CARA_LO_CHEMBL3706356_IC50_0036,similarity_to_best_active,none,0
CARA_LO_CHEMBL3706360_IC50_0037,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707497_IC50_0038,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707783_IC50_0039,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707789_Ki_0040,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707834_Ki_0041,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707951_IC50_0042,similarity_to_best_active,none,0
CARA_LO_CHEMBL3707962_IC50_0043,similarity_to_best_active,none,0
CARA_LO_CHEMBL3734174_IC50_0044,similarity_to_best_active,none,0
CARA_LO_CHEMBL3734552_EC50_0045,similarity_to_best_active,none,0
CARA_LO_CHEMBL3883076_IC50_0046,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887029_Ki_0047,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887030_Ki_0048,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887063_IC50_0049,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887074_IC50_0050,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887224_IC50_0051,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887259_EC50_0052,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887288_IC50_0053,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887334_IC50_0054,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887429_IC50_0055,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887731_Ki_0056,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887866_IC50_0057,similarity_to_best_active,none,0
CARA_LO_CHEMBL3887887_IC50_0058,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888033_IC50_0059,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888094_IC50_0060,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888209_IC50_0061,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888296_IC50_0062,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888825_IC50_0063,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888867_IC50_0064,similarity_to_best_active,none,0
CARA_LO_CHEMBL3888870_IC50_0065,similarity_to_best_active,none,0
CARA_LO_CHEMBL3889097_IC50_0066,similarity_to_best_active,none,0
CARA_LO_CHEMBL3889159_IC50_0067,similarity_to_best_active,none,0
CARA_LO_CHEMBL3889186_IC50_0068,similarity_to_best_active,none,0
CARA_LO_CHEMBL3889262_IC50_0069,similarity_to_best_active,none,0
CARA_LO_CHEMBL4388634_IC50_0070,similarity_to_best_active,none,0
CARA_LO_CHEMBL4404752_IC50_0071,similarity_to_best_active,none,0
CARA_LO_CHEMBL4418470_EC50_0072,similarity_to_best_active,none,0
CARA_LO_CHEMBL4476912_IC50_0073,similarity_to_best_active,none,0
CARA_LO_CHEMBL4476963_IC50_0074,similarity_to_best_active,none,0
CARA_LO_CHEMBL4477153_IC50_0075,similarity_to_best_active,none,0
CARA_LO_CHEMBL4712750_IC50_0076,similarity_to_best_active,none,0
CARA_LO_CHEMBL4739819_EC50_0077,similarity_to_best_active,none,0
CARA_LO_CHEMBL641707_IC50_0078,similarity_to_best_active,none,0
CARA_LO_CHEMBL648337_IC50_0079,similarity_to_best_active,none,0
CARA_LO_CHEMBL652259_IC50_0080,similarity_to_best_active,none,0
CARA_LO_CHEMBL656248_IC50_0081,similarity_to_best_active,none,0
CARA_LO_CHEMBL658042_Ki_0082,similarity_to_best_active,none,0
CARA_LO_CHEMBL658217_Ki_0083,similarity_to_best_active,none,0
CARA_LO_CHEMBL663407_Ki_0084,similarity_to_best_active,none,0
CARA_LO_CHEMBL664960_Ki_0085,similarity_to_best_active,none,0
CARA_LO_CHEMBL819742_Ki_0086,similarity_to_best_active,none,0
CARA_LO_CHEMBL829091_IC50_0087,similarity_to_best_active,none,0
CARA_LO_CHEMBL830957_IC50_0088,similarity_to_best_active,none,0
CARA_LO_CHEMBL856174_IC50_0089,similarity_to_best_active,none,0
CARA_LO_CHEMBL863649_EC50_0090,similarity_to_best_active,none,0
CARA_LO_CHEMBL879102_Ki_0091,similarity_to_best_active,none,0
